file,seconds
250-142286-0012.wav,8.80
4441-76263-0047.wav,10.37
196-122150-0037.wav,15.98
7226-86965-0043.wav,12.96
374-180298-0048.wav,16.36
831-130746-0034.wav,11.96
196-122152-0030.wav,15.26
4160-11550-0032.wav,13.69
6081-42010-0008.wav,11.55
6818-76332-0044.wav,15.93
1116-137572-0030.wav,13.43
6454-120342-0007.wav,14.66
3807-4955-0038.wav,6.67
1723-141149-0029.wav,14.80
5104-33407-0007.wav,13.06
3242-8112-0030.wav,5.42
7367-86737-0103.wav,14.54
5192-19397-0080.wav,13.75
1926-147979-0046.wav,15.62
6476-57446-0019.wav,14.32
229-130880-0005.wav,5.19
1040-133433-0072.wav,15.30
4680-16041-0034.wav,13.79
5750-100289-0019.wav,15.13
89-218-0039.wav,15.14
6531-61334-0089.wav,10.37
446-123501-0055.wav,14.88
307-127539-0014.wav,12.53
7190-90543-0038.wav,15.53
5789-70653-0006.wav,10.58
1578-140049-0032.wav,12.96
2764-36617-0024.wav,4.14
7113-86041-0003.wav,11.29
2952-407-0027.wav,5.33
1455-134435-0070.wav,14.28
3112-9554-0022.wav,15.88
4680-16042-0032.wav,13.46
5339-14133-0022.wav,2.81
5463-39174-0046.wav,15.32
1926-147979-0027.wav,13.24
226-131532-0026.wav,14.54
7402-59171-0028.wav,15.69
8063-274116-0000.wav,13.96
5703-47198-0018.wav,16.17
5022-29411-0055.wav,13.04
2518-154825-0047.wav,16.09
6415-111615-0031.wav,14.19
445-123857-0028.wav,6.70
4214-7146-0017.wav,10.38
307-127539-0041.wav,12.07
2416-152139-0000.wav,13.91
5339-14134-0043.wav,10.21
3699-47246-0030.wav,14.81
446-123501-0016.wav,14.90
481-123720-0013.wav,5.66
3807-4923-0006.wav,12.74
78-369-0014.wav,10.76
32-21631-0002.wav,13.09
6000-86686-0023.wav,14.34
5390-24512-0014.wav,16.02
4088-158077-0034.wav,12.21
911-128684-0061.wav,9.80
2952-408-0024.wav,12.70
150-126107-0035.wav,16.16
5322-7679-0006.wav,13.96
4014-186183-0019.wav,9.53
481-123720-0069.wav,13.31
911-130578-0014.wav,5.33
302-123523-0037.wav,16.11
4088-158077-0076.wav,3.69
4160-14187-0020.wav,12.02
3486-166424-0043.wav,14.38
3857-182315-0041.wav,14.66
211-122425-0041.wav,14.78
4088-158077-0005.wav,14.86
8797-294123-0032.wav,5.76
2289-152258-0011.wav,6.80
5678-43301-0009.wav,14.69
2764-36617-0011.wav,15.17
8123-275216-0012.wav,14.56
2196-170151-0010.wav,14.89
8088-284756-0092.wav,4.94
254-145458-0010.wav,9.30
4362-15663-0057.wav,12.71
6476-57446-0001.wav,14.60
460-172359-0028.wav,15.41
7302-86814-0038.wav,5.54
4898-28461-0063.wav,15.14
3486-166424-0047.wav,3.31
1926-147979-0040.wav,14.83
3235-11599-0012.wav,15.47
289-121665-0029.wav,14.46
1088-134315-0042.wav,16.64
78-369-0018.wav,13.41
1578-140045-0008.wav,15.27
2416-152139-0065.wav,15.30
8098-278278-0031.wav,14.63
426-122821-0033.wav,14.54
6476-57446-0079.wav,13.86
322-124147-0010.wav,14.63
911-128684-0070.wav,14.89
6081-41998-0012.wav,8.87
3259-158083-0125.wav,14.16
1098-133695-0047.wav,14.05
198-129977-0011.wav,15.79
8095-274348-0014.wav,15.78
669-129074-0021.wav,15.49
298-126791-0008.wav,14.72
7148-7763-0029.wav,14.21
5192-19396-0009.wav,7.33
7800-283493-0029.wav,15.87
426-122821-0037.wav,13.65
6476-57446-0053.wav,6.20
3112-9555-0090.wav,12.49
412-126975-0071.wav,15.38
26-496-0018.wav,15.93
6531-61334-0026.wav,3.25
150-126107-0020.wav,14.52
196-122150-0015.wav,13.87
103-1240-0021.wav,14.81
4680-16026-0022.wav,12.17
332-128985-0021.wav,13.94
198-126831-0049.wav,15.07
7078-271888-0033.wav,14.75
8468-286673-0026.wav,13.26
1263-139804-0004.wav,13.66
2391-145015-0083.wav,13.22
1578-6379-0001.wav,15.37
5789-70653-0022.wav,13.81
481-123720-0067.wav,13.51
4214-7146-0067.wav,15.82
8425-292520-0009.wav,15.61
4297-13009-0018.wav,14.31
3168-173564-0039.wav,14.87
4051-11217-0033.wav,15.15
2136-5143-0017.wav,14.45
5163-18515-0011.wav,13.72
458-126294-0003.wav,16.70
5688-41232-0023.wav,5.79
