file,seconds
1841-159771-0025.wav,13.82
4680-16041-0014.wav,13.87
8630-305213-0047.wav,12.54
481-123719-0040.wav,2.23
696-92939-0025.wav,15.33
6078-54007-0045.wav,15.89
2182-181173-0005.wav,13.97
1455-138263-0025.wav,15.89
4481-17498-0027.wav,15.58
8123-275216-0036.wav,13.46
730-360-0007.wav,2.49
911-128684-0073.wav,14.99
1502-122615-0032.wav,12.92
8226-274371-0016.wav,11.45
669-129074-0000.wav,15.27
8629-261140-0002.wav,15.24
322-124147-0039.wav,16.98
6019-3185-0031.wav,14.06
198-126831-0011.wav,8.39
426-122821-0026.wav,14.57
7059-77897-0012.wav,10.83
1334-135589-0077.wav,16.35
1116-132851-0019.wav,2.22
1098-133695-0042.wav,17.09
1898-145702-0011.wav,15.42
7078-271888-0026.wav,15.80
3436-172171-0043.wav,13.99
6385-34655-0022.wav,16.02
6925-80680-0063.wav,4.43
3259-158083-0005.wav,1.92
4853-27670-0012.wav,15.41
200-124140-0025.wav,13.95
3235-28433-0024.wav,14.00
19-227-0029.wav,14.41
4362-15663-0036.wav,14.62
7402-59171-0012.wav,11.99
1867-154075-0013.wav,12.41
8419-293473-0016.wav,14.95
1970-28415-0037.wav,14.04
8051-118101-0006.wav,6.17
2136-5140-0026.wav,9.28
3112-9554-0001.wav,14.60
441-130108-0011.wav,12.53
1246-124548-0030.wav,14.50
6476-57446-0055.wav,15.62
2911-15084-0004.wav,14.68
4898-28461-0053.wav,5.46
1034-121119-0027.wav,13.54
5339-14133-0024.wav,13.76
2159-179157-0016.wav,10.21
2092-145709-0020.wav,11.74
163-122947-0025.wav,15.76
196-122159-0023.wav,11.72
7517-100429-0016.wav,11.73
839-130898-0052.wav,12.54
8088-284756-0093.wav,12.35
2196-170151-0021.wav,13.00
4088-158077-0063.wav,10.57
446-123501-0042.wav,16.20
6531-61334-0016.wav,13.49
289-121665-0039.wav,15.05
8468-294887-0038.wav,12.88
7859-102519-0054.wav,9.77
5390-24512-0048.wav,15.10
405-130894-0042.wav,13.89
2817-142371-0032.wav,13.99
4018-107312-0020.wav,13.47
307-127539-0020.wav,13.80
3699-47246-0020.wav,14.75
2007-132570-0043.wav,13.71
2002-139469-0108.wav,13.27
7148-7763-0029.wav,14.21
909-131044-0013.wav,15.51
8108-280359-0012.wav,14.71
328-129766-0095.wav,15.34
831-130739-0054.wav,14.34
6415-116629-0024.wav,15.29
7635-105661-0013.wav,13.36
32-4137-0048.wav,14.09
7264-92310-0017.wav,13.22
8465-246942-0026.wav,16.14
1723-141149-0097.wav,5.08
6529-62556-0024.wav,13.24
226-122538-0012.wav,14.54
8838-298545-0034.wav,15.72
5808-54425-0056.wav,15.69
4640-19189-0017.wav,14.05
3374-298026-0045.wav,13.87
3440-171009-0062.wav,3.77
6081-42010-0029.wav,9.30
7780-274562-0104.wav,13.51
2416-152137-0005.wav,15.29
27-124992-0052.wav,6.28
3857-182317-0008.wav,15.82
8609-283227-0020.wav,9.60
248-130644-0031.wav,9.98
6181-216552-0010.wav,15.15
4195-186237-0004.wav,10.82
5678-43303-0036.wav,14.38
5049-25947-0065.wav,13.86
6064-56168-0027.wav,11.73
1963-147036-0029.wav,2.54
7312-92432-0000.wav,4.21
2952-410-0023.wav,14.49
5463-39174-0009.wav,10.80
233-134440-0023.wav,15.68
2384-152900-0048.wav,15.88
7511-102419-0008.wav,2.94
5867-48852-0076.wav,15.38
8063-274112-0008.wav,6.42
7113-86041-0055.wav,11.66
8014-112586-0017.wav,15.62
5688-41232-0023.wav,5.79
6454-107462-0033.wav,14.99
625-132112-0055.wav,14.73
4830-25898-0042.wav,13.60
229-130880-0030.wav,14.78
39-121914-0025.wav,3.12
7447-91187-0068.wav,14.57
4406-16882-0049.wav,8.73
8975-270782-0092.wav,13.12
6880-216547-0094.wav,12.71
78-368-0016.wav,8.84
254-127705-0011.wav,10.61
8747-293952-0089.wav,14.15
8425-287387-0016.wav,6.51
1737-142397-0025.wav,11.77
26-496-0009.wav,15.49
40-121026-0018.wav,12.80
8095-274346-0039.wav,15.63
4051-11218-0018.wav,15.40
2691-156755-0008.wav,15.45
8312-279791-0053.wav,12.79
1183-133256-0019.wav,7.35
8238-283452-0042.wav,13.34
5652-39938-0034.wav,13.94
7226-86964-0054.wav,14.56
7067-76048-0001.wav,14.45
3486-166424-0064.wav,14.52
7800-283478-0019.wav,5.94
298-126790-0003.wav,13.10
1088-134318-0002.wav,12.54
3723-171631-0007.wav,11.22
83-3054-0016.wav,14.79
89-219-0050.wav,13.96
3240-131231-0009.wav,5.03
7178-34644-0045.wav,15.04
5703-47198-0039.wav,14.96
1040-133433-0027.wav,9.04
